id,verb,object,detail
0,win,protection,malware virus trojan worm
1,scan,unknown file,real time
1,scan,malware,NA
2,hidden,program,other software
2,display,ad,your pc
2,redirect,other website,NA
3,block,virus,spyware other malware
4,scan,twitter facebook link,NA
5,protect,ransomware,running program
5,run,suspicious behavior,NA
6,safezone,browser,free version
7,detect,virus malware,your home network
8,take,surprise,NA
9,play,maximum power,no interruption
10,remember,the rest,NA
11,threat,don t,your network
11,threat,way,eset antivirus inspects
11,expect,ssl,communication channel
11,encrypt,http,compressed file
11,find,hidden threat,other product
11,begin,the earliest point,your computer
12,email,scanning,microsoft outlook outlook
12,email,mozilla thunderbird window live mail window mail,imap
12,ensure,your email,virus
12,be,other threat,NA
13,enter,your pc,removable medium
13,enter,such a usb thumb drive,self running medium eset antivirus scan
13,autorun,inf,associated file
13,associate,the medium,addition
13,insert,any file,any removable device
13,access,a full scan,the medium power user
13,perform,additional level,scanning
14,eset,sysinspector,eset
14,eset,sysrescue,simplify
14,diagnose,infected system,deep scan
14,allow,system process,hidden threat
14,create,bootable rescue cd dvd,usb
14,create,drive,an infected computer
15,eset,antivirus,technology
15,prevent,malicious software,your system
16,energy,sipping battery mode,laptop battery life
16,compromise,security,NA
17,advanced,protection status screen,threat detection
18,run,full screen application,game video player
18,run,presentation,NA
19,prevent,antivirus,stranger
22,ensure,the application,your pc
22,be,trusted application mode website,email
22,detect,malicious software,NA
23,fast,pc performance,NA
25,instant,safety check,file application
26,rollback,harmful malware activity,NA
27,do,sonar technology,your pc
27,live,any suspicious behavior,threat
28,scan,the file,online threat
29,remove,infection,le sophisticated product
30,harness,global power,only norton
30,bring,the ultra fast network defense layer,a multitude
30,block,threat,your pc
31,protection,the future,our exclusive reputation
31,stop,online threat,bad guy
32,keep,trespasser browser protection block unsafe website,software
32,steal,personal information,your pc
33,stumble,the wrong part,the web
33,block,phishing website,your password credit card number
34,don,need,a facebook news feed
34,contain,dangerous downloads,fraudulent link
35,protect,your identity,your user name
35,enter,password,NA
36,deliver,fast browsing,file
36,deliver,scanning,NA
37,win,overload,pop up warning
38,run,update,your pc
38,use,no need,NA
39,fix,update,norton product
39,install,additional pc,the product key
39,track,install cd,NA
40,work,the internet,a few simple click
41,norton,protection system,the patented layer
41,eliminate,threat,other technology
42,browser,protection,online threat
42,block,a your browser load,damage
43,sonar,behavioral protection live threat,monitoring
43,stay,detects,eliminates
43,watch,your pc,suspicious activity
44,threat,removal layer target,threat
44,remove,le sophisticated product,NA
45,improve,performance,safe file
45,identify,unknown file,NA
46,download,insight,dangerous application
47,send,important product,feature update
48,norton,management cloud,based control
48,fix,update,norton antivirus
48,install,the internet,a few simple click
48,bring,your available norton protection,other device
48,tablet,one place,NA
49,bandwidth,management,norton data usage update
49,connect,network,your monthly data allotment
49,cause,overage fee,NA
50,norton,your protection,NA
51,defend,new and emerging virus spyware,NA
52,proactive,detection,identifies
52,proactive,unknown malware,harmful activity
52,rollback,your pc,NA
53,hybrid,protection,the power
53,combine,the cloud,your device
54,instant,safety check,examine file website
55,win,your pc,NA
56,gamer,mode,an uninterrupted gaming experience
58,inform,potential threat,vulnerability
59,prevent,dangerous application,your system
60,alert,potentially malicious web site,NA
61,url,advisor,the reputation
61,inform,security,website link
62,block,a trojan,NA
63,ensure,only trusted application,your pc
64,system,watcher technology,your pc
64,secure,malware dangerous behavior,NA
65,prevent,the installation,unwanted program
65,prevent,browser,NA
66,prevent,malicious network attack,NA
67,banner,dangerous and annoying  advert,NA
68,protect,spam message,NA
69,advanced,parental control,your child
70,protect,data,online financial transaction
71,prevent,unauthorized remote access,NA
72,capture,your personal information,NA
73,phish, site,email
73,steal,your money,your identity
74,include,quick launch,malware
74,include,image,your pc screen
75,secure,keyboard,personal data
75,enter,your pc s physical keyboard,NA
76,hide,your private mobile communication,manual automatic or remote activation
76,make,the mode,NA
77,set,password protection shield,application
77,set,unauthorized un installation protection disability,configuration
78,manage,the security,all your device
78,manage,the web,NA
79,stop,virus,the web
79,download,file,NA
80,block,spyware ,your computer
80,remove,existing spyware,the web
81,stop,hacker protects,your computer
81,stop,hacker,the internet
82,guard,important file,your computer
83,monitor,incoming and outgoing internet activity,suspicious application
83,look,data,NA
84,improve,your computer s performance,clutter
84,remove,disk space,NA
85,provide,advance warning,site
85,send,spam install adware,online scam
86,scan,your computer check,update
86,scan,your security,the new mcafee
86,use,program,access
86,give,your computer security information,NA
87,protect,virus,threat
87,protect,protection,mcafee avert lab
87,monitor,worldwide virus activity,immediate anti virus protection and removal solution
88,update,daily update,a new version
88,instal,mcafee,no charge
88,get,your subscription,date protection
89,convenient,ongoing protection mcafee,a variety
89,offer,renewal option,your mcafee protection
90,real,people,real help support
90,real,mcafee s computer security expert,internet chat e mail
91,integrate,anti virus,firewall technology
91,combat,today s sophisticated multi pronged attack,NA
92,remove,adware,NA
93,complete,inbound and outbound firewall protection,known good application
93,block,spyware trojan,key logger
94,mcafee,systemguards,your computer
94,watch,specific behavior,NA
95,mcafee,x ray,window detects
95,kill,rootkits,other malicious application
95,mcafee,window,other anti virus program
96,mcafee,siteadvisor,safety rating
96,add,site and search engine result,comprehensive spam adware
96,base,online scam safety test,NA
97,stealth,mode,your presence
97,hide,the internet,your computer
97,make,hacker,NA
98,mcafee,securitycenter,your computer s security status check
98,review,update,potential security issue
99,perform,full scan,all drive
100,hold,threat,your convenience
101,ignore,list,both the scanner and protection module
102,enhance,your malwarebytes,anti malware performance
104,work,other anti malware utility,NA
105,command,line support,quick scanning
106,context,menu integration,file
106,scan,demand,NA
107,threat,don t,way
107,expect,smart security inspects,ssl
107,encrypt,communication channel,http
107,scan,compressed file,threat
107,miss,smart optimization feature,file
108,save,time,firewall rule
108,observe,end user,the network
108,offer,advanced firewall mode,power user pair
108,customize,trusted network zone,appropriate firewall rule
108,base,detected network presence,NA
109,identify,trusted network zone,network configuration
