id,verb,object,detail
0,keep,unwanted advertising,your desktop
1,open,several page,a single window
1,load,link,the background
1,leave,the page,NA
2,integrate,search,google
3,industry,leading accessibility,a you type find link
3,find,page text,NA
4,simplified,privacy control,your track
5,see,the page,any other browser
6,add,specific functionality,visual change
6,add,the browser,NA
7,start,your desktop,NA
8,load,web page,a snap
9,run,web application,NA
10,search,navigate to web page,the same box
11,organize,tab,NA
12,get,your favorite website,just a click
13,try,minimalist star,google chrome artist theme
14,stay,the content,our secure browser
14,protect,fraud,the web
14,like,better privacy,our unlimited free vpn feature
15,be,the first major browser,ad
15,add,ons,ad blocker
15,make,content,opera
16,keep,track,time
16,get,enough online video don t,our new video pop
16,miss,feature,a floating moveable video frame
16,work,other apps,the action
17,opera,speed,performance
17,be,our top priority,the data
17,compress,native ad blocker,other feature
17,browse,the new battery saver feature,laptop battery life
18,build,the browser opera,the world
18,shop,any nasty surprise,your credit card bill
19,customize,opera,the extension
19,download,theme,the best browser experience
19,get,a personal touch,the animated theme
19,bring,start page,life
20,switch,device,opera sync
20,leave,open tab,other data
20,sync,your opera account,opera
20,keep,all it,a usb drive
20,set,our portable version,NA
21,bring,the latest news,one spot
21,start,your news feed,preferred news source
21,add,the world,addition
22,set,the stage,immersive and rich experience
23,internet,the website,the browser
23,re,the new tab page,meaningful suggestion
23,provide,information,a you
24,notification,internet explorer,your way
24,get,all notification message,the notification bar
24,locate,the bottom,the browser frame
25,get,your favorite site,the window taskbar
25,open,internet explorer,NA
26,tear,tab,multiple site
26,rearrange,internet explorer,icon
26,rearrange,the taskbar,window
26,open,any tab,a new browser window
26,drag,that tab,your desktop
27,use,most the navigational control,internet explorer
27,simplify,the back button,the address bar
27,be,search box,one new address bar
27,combine,the multiple menu,previous version
27,consolidate,a single menu,NA
28,cross,site scripting attack,a leading online threat
28,lead,their aim,vulnerability
28,exploit,the website,legitimate website
28,compromise,malicious content,keystroke
28,capture,your login information,password
28,capture,your personal data,NA
29,avoid,deceptive website,the address
29,know,the website,domain highlighting internet explorer
29,see,the true web address,a glance
29,highlight,the domain name,the address bar
29,identify,the site,NA
30,real,full screen mode,full desktop mode
31,protect,your privacy,a shared computer
32,tabbed,all the web page,main window
32,ease,your navigation,NA
33,drag,drop type,the keywords
33,drag,address bar,a search
33,drag,a keyword,your mouse
34,clean,the web page,popup window
34,remove,ad content block,NA
36,create,several standard message,a database
37,choose,which friend,your message
38,macroreplacement,unique system,your message
38,replace,your friend s name,the message
39,activate,the random message option,the program
39,activate,message,several message
39,create,your friend,a different message
40,search,drag text,browser
40,add,special search button,search bar
40,search,example news software image,bt dictionary
40,bt,the search button,no use
40,switch,search engine,pop menu
40,be,direct drag drop text,search button
41,be,search button,the search bar image baidu google yahoo greenbrowser search search msn search google
41,baidu,lucky ,baidu news google image
41,know,bt search search software search shopping search,powerful search bar
41,greenbrowser,user folder,NA
42,add,some frequently use program link,external toolbar
42,use,set external toolbar,the program auto
42,set,greenbrowser,auto
43,tab,bar icon,the state
43,show,page blank page,NA
44,webgl,high dpi support,NA
45,create,window store apps,javascript
46,fast,loading prerender,prefetch caching
47,enhanced,view,website and window store apps
47,use,javascript,NA
48,tile,support,tile
48,tile,notification,NA
49,look,better integration,the window environment
50,close,caption,video
52,base,our own optimized layout engine goanna,NA
53,fork,mature mozilla code,NA
54,secure,additional security feature,security
54,secure,aware development,NA
55,support,a friendly active community,user
57,support,full theme total freedom,any element s design
58,support,easily created lightweight theme skin,NA
59,smooth,speedy page,script
60,increase,stability experience,NA
61,support,many firefox extension,NA
62,support,a growing number,pale moon exclusive extension
63,extensive,growing support,NA
65,update,your status,comment
65,make,the web new flock,NA
66,handle,javascript,NA
67,allow,flock,date
67,keep,all your friend,favorite feed
67,keep,the browser,performance
68,be,the hub,activity
68,be,flock,feed content
68,inform,social stream,t
68,leave,the web page,your social service
68,subscribe,r and atom feed,your friend
68,s,favorite content,NA
69,drop,menu,the top
69,see,just friend,facebook
69,see,twitter,all friend
69,create,any channel,NA
70,talk,the news,the funny video
70,stumble,the talk button,a comment
70,add,the link,NA
71,be,lot,people
71,personalize,their online experience,browser extension
71,be,a great way,flock
72,provide,the option,a free account
72,create,your favorite site,your social networking account
72,feed,all the group,your sidebar
72,access,your account,any flock browse
73,close,the selected browsing data,default
73,go,privacy,NA
74,make,efficient command,easy mouse gesture
74,make,mouse gesture,quite a lot
74,save,time,NA
75,use,control,the ie tab
75,visit,these page,NA
76,prevent,the display,ad
76,prevent,especially the adblock,the rule
76,support,the world famous adblock,rule
76,make,use,the existing blocking list
77,drop,a block,text
77,drop,the page,a page
77,create,the text,your default search engine
77,drag,the link,picture
77,open,the newtab page,NA
78,re,downloading tool,netants orbit qq xuanfeng
78,be,flashgetmini netx webthunder xunlei,NA
79,re,some common used featu,the bottom toolbar
80,open,multiple site,window
80,open,a single browser task web page,tab
80,prevent,your screen,NA
81,control,the web browser mouse gesture,quick access
81,provide,common function,crazy browser
83,crazy,browser,most pop up window
83,appear,page,the internet
84,build,web form filler,integration
84,support,roboform form filler,NA
85,build,popup killer suppresses,all annoying popup ad
85,browse,internet,NA
86,build,web form,spell
86,post,spelling,mistake
87,eliminate,ad banner,other unwanted component
87,eliminate,web page,address pattern
88,convenient,access,major web search engine
90,navigate,your favorite site,your account
90,log,a single click,NA
92,save,a collection,web site
92,save,a a group,a single click
93,type,defined short alias,long url
93,visit,internet site,NA
94,theworld,browser,the second multi thread frame browser
94,be,the world,internet explorer
94,be,the multi threaded window frame,web page
94,be,response,NA
95,block,popup ad,ad
96,use,black list,ad
96,use,the black list filter,lower level
96,work,http protocol,regular expression
96,filter,every page item,NA
97,flash,filter,all level proxy quick switch auto form
98,theworld,special safe guard,risk
98,keep,more safe function,development
99,be,multi thread,resumable download
100,theworld,browser,skin
100,extend,your browse experience,NA
101,take,full advantage,your pc
101,take,gpu powered graphic,javascript
102,deliver,interoperability,web standard
103,create,next generation experience,graphical capability
104,shine,a site centric browsing experience,site
105,protect,your privacy,a shared computer
106,tabbed,all the web page,main window
106,ease,your navigation,NA
107,drag,drop type,the keywords
107,drag,address bar,a search
107,drag,a keyword,your mouse
108,clean,the web page,popup window
108,remove,ad content block,NA
110,give,a better way,the net
110,open,one page,a time
110,browse,your homepage,multiple page
110,close,a tab or window functionality,closed tab
