id,verb,object,detail
0,bring,the fastest transfer speed possible film maker recording artist,other window user
1,access,almost any type,mac formatted disk
1,access,hard drive dvd cd,a mac
1,mount,target disk mode,NA
2,macdriv,disk manager,partition
2,create,your mac disk,your pc
3,macdriv,disk repair,most error
3,fix,mac disk,NA
4,browse,time machine,those file
5,use,a mac,apple boot camp utility
5,drive,vmware fusion,parallel
6,favorite,quick access,most often used folder
7,drag,drop move file,q view
7,drag,other program,such a m explorer
8,clipboard,the q dir directory view,other program
9,folder,type zip ftp cabinet network system ,shortcut
10,view,large icon tile list detail,vista extra large symbol
11,export,txt html,NA
12,popup,menu,my computer
13,screen,magnifier anything,the screen
14,color,different ,different item type
15,highlight,filter,fast item highlighting
16,file,filter,quick and easy filtering
16,allow,the item,NA
17,column,all  support,function
19,folder,fast flexible  selection address bar desktop menu,NA
20,multi,ini several ini file,q dir
21,allow,a quick preview,NA
22,own,installer,choose type
22,choose,installation,element
22,install,language,icon
22,install,default skin,installation type
24,expand,main menu tab tab management system quick launch system window,my computer font network printer trash extended configuration menu
24,extend,direct access,configuration option
25,expand,comment quickview search cd tree,dirs multirename tool
26,predefined,search pattern,custom field wdx
27,depend,type,NA
29,drop,facility,copy
29,move,operation,NA
30,easy,configurable option internal external file viewer,text editor file operation association
30,easy,certain file type panel view,file sorting mode
31,ntfs,compressed and encrypted attribute,hard symbolic link support
32,plugin,command default s set,archive management plugin ftp client network browser print manager
32,ftp,temporary panel,your own plugins
33,tunable,configuration color scheme customization,NA
34,define,just the view,each pane
34,need,your folder,file
35,have,a full featured hi quality audio player,playlist and tag support play
35,play,background,le resource usage ogg vorbis flac
35,play,winamp,plugins
36,include,exif information,NA
37,get,an overview,your photo
37,get,other image collection,NA
38,run,any number,different operation
38,run,the same time,several instance
38,have,several copy command,NA
39,handle,your data,the same way
39,handle,your desktop or laptop computer,NA
40,burn,www nero com,NA
41,use,ef commander,file
41,pack,whole folder,the common archive format
42,support,format zip ace arc arj cab cpio gzip,img iso lha rar rpm sfx
42,rpm,tar tbz,zip zoo
43,view,picture file,movie
43,view,ogg vorbis flac,any other software
44,enlarge,the number,available format
44,enlarge,ef commander,the background
44,remain,you file,the internal viewer
44,manage,the quick view mode,a thumbnail
45,build,ftp client feature resume download,fxp server
46,limit,your system resource,NA
47,split,large file,smaller part
47,split,the part,NA
48,check,the integrity,your data
48,check,ef commandersupports,the sfv
49,synchronize,your notebook,your lan
49,synchronize,your work station,NA
50,allow,file list,cab
51,unpack,some file,cab
51,unpack,any directory,NA
52,make,new cab,NA
54,build,file viewer,file
54,view,hex binary text or image format,NA
55,file,viewer,archive
56,build,archive handling zip,write cab
56,read,write rar,NA
57,easy,access,system folder control panel
57,start,menu,NA
58,copy,move delete rename file,folder
59,verify,checksum,NA
60,file,property,context
60,file,menu,NA
62,search,archive,NA
63,multithread,operation,extremely fast search result
64,search,any other program,NA
65,allow,extremely fast byte comparison,large file
66,search,multiple directory,drive
67,search,all file type,your search
67,narrow,specific file type,NA
68,locate,empty file,NA
69,click,a file,the tree list
69,display,a detailed information dialog,NA
70,delete,selected original file,NA
75,view,content,file text html
75,view,picture format,NA
76,command,line,arbitrary command
76,execute,the system shell,NA
77,support,long filename file type association,compression
78,file,text,hex mode
79,handle,file,gb
81,user,all selected file,directory
82,be,multiple docking option,a the ability
83,have,toolbars,any location
86,be,context,which listview
88,drop,file,the folder
89,allow,fast access,parent folder
89,allow,the current path hierarchy,NA
90,dropdown,menu,direct access
90,allow,other folder,the folder hierarchy
91,support,total commander lister plug,NA
92,use,file,other explorer replacement
92,have,multiple list,one time
92,become,a favorite view,many application
93,customizable,association menu key mouse gesture alias,NA
95,burn,cd,dvd
