id,verb,object,detail
0,download,one file,more user
0,download,corruption,download speed
0,improve,fast connection,classical downloading segment position
0,s,an ize,file size
0,decide,chunk speed,NA
1,download,file,other user
1,download,download speed,network
2,be,upload speed limit,opened slot hub
3,disconnect,source,certain value
3,be,certain time,speed
3,go,the source,the set value
3,avoid,unnecessary slot usage,NA
4,set,sound,popup
4,accord,balloon,emoticon
5,web,link,new window
6,show,timestamps,NA
7,check,the result,the lowest status bar
8,autocomplete,user name,main chat
9,skip,list file,t
10,popup,menu,url
10,winamp,playlist,NA
11,file,the popup menu,the search result window
12,notification,pm,the user
12,go,offline,t
12,write,message,NA
13,autosearch,alternative,both folder
14,specify,text color,NA
15,define,color,main chat multicolor
16,filter,the user list,user
16,find,the list,NA
17,add,icon,the window tab
17,see,that specific tab,NA
18,fast,algorithm,the search
19,customize,color,the progress bar
19,customize,the transfer window,NA
20,search,alternate,release
21,tile,subwindows,NA
22,option,the viewmenu,the transfer window
23,file,menu,the transfer menu
23,open,incomplete file,NA
24,type,eg,g search string
24,search,google,chat
25,file,information,transfer window
26,global,torrent speed,NA
28,set,download location relocate feature,file
29,add,torrent dialog,magnet link
30,add,option,user activity
30,detect,the computer,NA
31,tiger,tree hash,tth
31,use,file integrity,NA
32,select,type size,NA
33,resume,downloads,optional search
34,logging,option,configuration
34,log,chat private message downloads,uploads
35,auto,upnp router,NA
36,magnet,link support,specific content
38,save,user s file list,NA
39,download,speed,torrent
41,set,the forward,your router
42,use,a proxy,both tracker
42,use,peer,communication
43,set,a default download,completed file
44,import,torrent,a set dir
45,include,quick help,NA
46,embed,tracker,your own torrent automate
46,embed,periodic scanning,a dir
47,distribute,hash table host,the tracker
48,dynamic,bandwidth management download,other application
49,detail,stats,the health
49,provide,a safer more controlled experience,NA
50,reduce,hassle,fast downloads
51,global,torrent speed,NA
52,write,c stable and fast very low cpu usage,NA
53,multiple,simultaneous downloads ability,download file
53,select,one torrent,file priority
54,speed,a download ,NA
55,use,all default setting,NA
56,get,the max download rate,NA
57,s,the read write frequency,extra memory usage
57,be,the cost,NA
58,allocate,no longtime disk allocation,the disk fragment
59,scan,ning,resume
60,support,torrent share exchange torrent file,NA
61,support,longtime seeding,download speed
62,use,only one tcp listening port,NA
64,auto,config port mapping,router upnp support
64,require,router window,xp
65,support,mutitracker torrent format,extension udp tracker proptocol
67,use,interface,NA
68,search,a multitude,site
68,search,a single click,NA
69,return,all result,a single list
70,download,the list,the website source page
70,visit,complete detail,NA
71,complete,filtering,sorting
71,complete,result,any column
72,download,site,user registration
72,use,your system s cooky,NA
73,complete,downloading transparency,an engine status screen
73,show,a comprehensive breakdown,exactly what
73,show,page,the result
73,load,each page,NA
