domain,app,requirement,url
Antivirus,AntiVir-Personal-Edition,"Award-winning protection from malware (viruses, Trojans, worms, etc.)",https://www.softpedia.com/get/Antivirus/AntiVir-Personal-Edition.shtml
Antivirus,AntiVir-Personal-Edition,Scans unknown files in real time for malware and exploits.,https://www.softpedia.com/get/Antivirus/AntiVir-Personal-Edition.shtml
Antivirus,AntiVir-Personal-Edition,Identifies potentially unwanted applications,https://www.softpedia.com/get/Antivirus/AntiVir-Personal-Edition.shtml
Antivirus,AntiVir-Personal-Edition,"Hidden programs bundled with other software. They display ads, slow down your PC and redirect you to other websites.",https://www.softpedia.com/get/Antivirus/AntiVir-Personal-Edition.shtml
Antivirus,AntiVir-Personal-Edition,hidden within legitimate software.,https://www.softpedia.com/get/Antivirus/AntiVir-Personal-Edition.shtml
Antivirus,AVG-Free-Edition,"Blocks viruses, spyware, & other malware",https://www.softpedia.com/get/Antivirus/AVG-Free-Edition.shtml
Antivirus,AVG-Free-Edition,"Scans web, Twitter & Facebook links",https://www.softpedia.com/get/Antivirus/AVG-Free-Edition.shtml
Antivirus,Avast-Home-Edition,Behavior Shield - better protects you against ransomware by monitoring running programs for suspicious behavior,https://www.softpedia.com/get/Antivirus/Avast-Home-Edition.shtml
Antivirus,Avast-Home-Edition,SafeZone browser is now included also in free version,https://www.softpedia.com/get/Antivirus/Avast-Home-Edition.shtml
Antivirus,Avast-Home-Edition,"Detect viruses, malware and more, even on your home network",https://www.softpedia.com/get/Antivirus/Avast-Home-Edition.shtml
Antivirus,Avast-Home-Edition,"Real-time analysis of unknown files, so viruses cant take you by surprise.",https://www.softpedia.com/get/Antivirus/Avast-Home-Edition.shtml
Antivirus,Avast-Home-Edition,Play with maximum power and no interruptions.,https://www.softpedia.com/get/Antivirus/Avast-Home-Edition.shtml
Antivirus,Avast-Home-Edition,Except one. Log in anywhere with your master password; well remember the rest.,https://www.softpedia.com/get/Antivirus/Avast-Home-Edition.shtml
Antivirus,NOD,Threats don't always enter your network in ways you expect. ESET NOD32 Antivirus inspects SSL-encrypted communication channels like HTTPS and POP3S and intelligently scans compressed files to find hidden threats other products miss. Proactive protection begins at the earliest point in system startup to ensure your computer is always secure.,https://www.softpedia.com/get/Antivirus/NOD.shtml
Antivirus,NOD,"Email scanning for Microsoft Outlook, Outlook Express, Mozilla Thunderbird, Windows Live Mail, Windows Mail, and other POP3/IMAP mail clients, ensuring your email is free of viruses and other threats.",https://www.softpedia.com/get/Antivirus/NOD.shtml
Antivirus,NOD,"Threats can enter your PC from removable media such as USB thumb drives. For self-running media, ESET NOD32 Antivirus scans autorun.inf and associated files when the medium is inserted, in addition to scanning any file on any removable device when it is accessed, or during a full-scan of the media. Power users can adjust ESET NOD32 Antivirus to perform additional levels of scanning on removable media.",https://www.softpedia.com/get/Antivirus/NOD.shtml
Antivirus,NOD,"ESET SysInspector and ESET SysRescue simplify diagnosing and cleaning of infected systems by allowing deep scans of system processes to find hidden threats, and creating bootable rescue CD/DVD or USB drives to help you repair an infected computer.",https://www.softpedia.com/get/Antivirus/NOD.shtml
Antivirus,NOD,"ESET NOD32 Antivirus has built-in technology to prevent malicious software from corrupting or disabling it, so you can rest assured your system is always protected.",https://www.softpedia.com/get/Antivirus/NOD.shtml
Antivirus,NOD,Energy-sipping battery mode extends laptop battery life without compromising security,https://www.softpedia.com/get/Antivirus/NOD.shtml
Antivirus,NOD,Advanced Protection Status screen informs you of threat detections,https://www.softpedia.com/get/Antivirus/NOD.shtml
