domain,app,requirement,url
Compression Tool,WinRAR,"WinRAR introduces an original compression algorithm.  It provides high compression ratios on executable files, object libraries, large text files, etc.",https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,WinRAR offers an optional compression algorithm highly optimized for multimedia data.,https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,"WinRAR supports files and archives up to 9,223,372,036,854,775,807 bytes in size, about 9000PB.  The number of archived files is unlimited for all practical purposes.",https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,"WinRAR provides complete support for RAR and ZIP 2.0 archives and is able to unpack CAB, ARJ, LZH, TAR, GZ, ACE, UUE, BZ2, JAR, ISO, Z, 7Z archives.",https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,WinRAR supports NTFS file security and data streams.,https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,WinRAR offers both a classic interactive Windows interface and the command line interface.,https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,"WinRAR provides functionality for creating a 'solid' archive, which can raise the compression ratio by 10% - 50% over more common methods, particularly when packing large numbers of small files.",https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,WinRAR offers the ability to create and change SFX archives using default and external SFX modules.,https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,WinRAR offers the ability to create a multi-volume archive as SFX.,https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,WinRAR,"WinRAR offers a number of service functions, such as setting a password, adding archive and file comments.  Even physically damaged archives may be repaired and an archive may be locked to prevent further changes.",https://www.softpedia.com/get/Compression-tools/WinRAR.shtml
Compression Tool,7-Zip,High compression ratio in the new 7z format,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,"Packing / unpacking: 7z, XZ, BZIP2, GZIP, TAR and ZIP",https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,"Unpacking only: ARJ, CAB, CHM, CPIO, DEB, DMG, FAT, HFS, ISO, LZH, LZMA, MBR, MSI, NSIS, NTFS, RAR, RPM, UDF, VHD, WIM, XAR and Z.",https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,Fast compression and decompression,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,Self-extracting capability for 7z format,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,Strong AES-256 encryption in 7z and ZIP formats,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,Integration with Windows Shell,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,Powerful File Manager,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,Powerful command line version,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,7-Zip,Localizations for 74 languages,https://www.softpedia.com/get/Compression-tools/7-Zip.shtml
Compression Tool,WinZip,"With WinZip, you can instantly compress files to conserve storage space, send swifter emails, and decrease file upload/download times. Zip documents, spreadsheets, PDFs, presentations, you name it!",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"WinZip introduces a versatile new architecture to support significant performance enhancements, giving additional power and agility to your file compression tasks!",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"With easy tools and drag-and-drop functionality, WinZip helps you create compressed files in the following formats: Zip, LHA, and Zipx (our smallest Zip file to date). Not sure which format to use? Let WinZip select the best compression method to maximize efficiency! You can even create self-extracting Zip files, which are ideal for distribution to recipients who may not own WinZip.",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"WinZip also provides advanced photo and image compression. With a single click, you can compress your digital photographs and graphic images by 20-25% with no loss of quality or data integrity. This lets you send files faster and fit more on your flash drive, CD/DVD, or hard disk.",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,"In addition to compressing files, WinZip instantly opens and extracts content from the industry's widest selection of compressed file types, including Zip, Zipx, RAR, 7Z, BZ2, LHA, CAB, IMG, ISO, and most other file archive formats.",https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,Zip (.zip),https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,Zipx (.zipx),https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,RAR (.rar),https://www.softpedia.com/get/Compression-tools/WinZip.shtml
Compression Tool,WinZip,7Z (.7z),https://www.softpedia.com/get/Compression-tools/WinZip.shtml
