domain,app,requirement,url
File Sharing,StrongDC,"Download one file from more users simultaneously without corruption! This way of downloading dramatically improves download speed, especially for fast connections, and it's safer than classical downloading. Segment position ans size are decided by file size and chunks speed.",https://www.softpedia.com/get/Internet/File-Sharing/StrongDC.shtml
File Sharing,StrongDC,Allows downloading and uploading parts of file which is being currently downloaded by you or other users. This increases download speed and file expanding over network.,https://www.softpedia.com/get/Internet/File-Sharing/StrongDC.shtml
File Sharing,StrongDC,"Avoids a full line usage and leaves some speed for web browsing. Realise, that download speed limit is dependent on upload speed limit which is dependent on amount of opened slots/hubs.",https://www.softpedia.com/get/Internet/File-Sharing/StrongDC.shtml
File Sharing,StrongDC,"Disconnects sources who speed is under certain value for certain time. If download speed during segmented downloading goes too low, the source is disconnected regardless the set value to avoid unnecessary slot usage.",https://www.softpedia.com/get/Internet/File-Sharing/StrongDC.shtml
File Sharing,StrongDC,"You can set sounds according to situation, change color scheme or icons, show popup balloons, see emoticons...",https://www.softpedia.com/get/Internet/File-Sharing/StrongDC.shtml
File Sharing,Operas-DC-oDC,"Web links opens in new windows, instead of existing ones",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Seconds are shown in timestamps,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,The sfv-check tells the result in the lowest status bar,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Auto-complete user names in main chat,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Skiplist. Files you don't want to be downloaded will be skipped,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"Popup-menu for url's. Uou can either ""Open"", ""Save as..."" or ""Add to Winamp playlist""",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"""Go to file"" in the popup menu in the search result window. Downloads the file list and ""goes"" to (focuses on) the file",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Notification in PM's when the user goes offline so you won't have to write messages that he/she won't see,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"""Auto-search for alternatives"" on both folders and multiple selected files",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"User-specified textcolor (not just 16 colors, but Any color)",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,User-defined colors in main chat (multicolor ie),https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Filter useless NMDC messages,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Filter in the user list. This way you can easily find users in the list,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"Added icons to the window tabs, so you can easily see what that specific tab is (optional)",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"Fast auto-search algorithm for the ""search for alternatives"" feature",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Customized colors for the progress bar in the transfer window,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"Fast search for alternates for ""releases""",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,lastlog feature,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Support for multi-button-mice,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"Vertical tile feature to be able to tile sub-windows vertically, not only horizontally",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Option (in the View-menu) to show/hide the transfer window,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"""File menu"" to the transfer menu, to open incomplete files (or its folder[s])",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,"Web Shortcuts. Now you can type eg. ""/g [search string]"" to search google directly from chat",https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,File information (dimmed) in transfer window for files not beeing currently downloaded but is waiting,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,Operas-DC-oDC,Update check feature,https://www.softpedia.com/get/Internet/File-Sharing/Operas-DC-oDC.shtml
File Sharing,uTorrent,Multiple simultaneous downloads,https://www.softpedia.com/get/Internet/File-Sharing/uTorrent.shtml
File Sharing,uTorrent,Configurable bandwidth scheduler,https://www.softpedia.com/get/Internet/File-Sharing/uTorrent.shtml
File Sharing,uTorrent,Global and per-torrent speed limiting,https://www.softpedia.com/get/Internet/File-Sharing/uTorrent.shtml
File Sharing,uTorrent,Quick-resumes interrupted transfers,https://www.softpedia.com/get/Internet/File-Sharing/uTorrent.shtml
File Sharing,uTorrent,RSS Downloader,https://www.softpedia.com/get/Internet/File-Sharing/uTorrent.shtml
File Sharing,uTorrent,Password-protected boss key,https://www.softpedia.com/get/Internet/File-Sharing/uTorrent.shtml
File Sharing,uTorrent,Global run-command feature on torrent completion/state change,https://www.softpedia.com/get/Internet/File-Sharing/uTorrent.shtml
