domain,app,requirement,url
Web Browser,Maxthon-3,Online Favorites Service: Access your Favorites content anywhere with Maxthon Online Favorites Service. The encrypted stand-alone Favorites file format can protect your privacy on a shared computer.,https://www.softpedia.com/get/Internet/Browsers/Maxthon-3.shtml
Web Browser,Maxthon-3,Tabbed Browsing: All the web pages are arranged as tabs inside main window to ease your navigation.,https://www.softpedia.com/get/Internet/Browsers/Maxthon-3.shtml
Web Browser,Maxthon-3,"Mouse GesturesHold right mouse button and perform the gestures to access common features such as Back, Forward, Refresh and Close Tab.",https://www.softpedia.com/get/Internet/Browsers/Maxthon-3.shtml
Web Browser,Maxthon-3,Super Drag&Drop: Type the keywords in Address Bar then press Enter to perform a search. Or simply drag & drop a keyword with your mouse.,https://www.softpedia.com/get/Internet/Browsers/Maxthon-3.shtml
Web Browser,Maxthon-3,Ad Hunter: Ad Hunter can efficiently clean up the web pages by stopping Popup Windows and removing Ad Content Blocks.,https://www.softpedia.com/get/Internet/Browsers/Maxthon-3.shtml
Web Browser,Maxthon-3,Fully Customizable: Plugins. Skins. Filter Packs. Multi-language,https://www.softpedia.com/get/Internet/Browsers/Maxthon-3.shtml
Web Browser,Mozilla-Firefox-Final,Comprehensive popup controls to keep unwanted advertising off your desktop;,https://www.softpedia.com/get/Internet/Browsers/Mozilla-Firefox-Final.shtml
Web Browser,Mozilla-Firefox-Final,"A tab browsing mode that lets you open several pages in a single window, allowing you to load links in the background without leaving the page you're on;",https://www.softpedia.com/get/Internet/Browsers/Mozilla-Firefox-Final.shtml
Web Browser,Mozilla-Firefox-Final,Integrated search (powered by Google);,https://www.softpedia.com/get/Internet/Browsers/Mozilla-Firefox-Final.shtml
Web Browser,Mozilla-Firefox-Final,Industry leading accessibility with Find As You Type - find links and page text by simply typing;,https://www.softpedia.com/get/Internet/Browsers/Mozilla-Firefox-Final.shtml
Web Browser,Mozilla-Firefox-Final,Simplified privacy controls that let you cover your tracks more effectively;,https://www.softpedia.com/get/Internet/Browsers/Mozilla-Firefox-Final.shtml
Web Browser,Mozilla-Firefox-Final,A streamlined browser window that lets you see more of the page than any other browser while at the same time being more configurable;,https://www.softpedia.com/get/Internet/Browsers/Mozilla-Firefox-Final.shtml
Web Browser,Mozilla-Firefox-Final,A large variety of free downloadable extensions and themes that add specific functionality and visual changes to the browser.,https://www.softpedia.com/get/Internet/Browsers/Mozilla-Firefox-Final.shtml
Web Browser,Google-Chrome,Quick to start up from your desktop,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Loads web pages in a snap,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Runs web applications faster than ever,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Search and navigate to web pages from the same box,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Arrange and organize tabs however you wish  quickly and easily,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,"Get to your favorite websites with just a click, from the thumbnails of your most visited sites in the New Tab page",https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,"Try Minimalist, Star Gazing, or Google Chrome Artist Themes.",https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,One box for everything,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,New Tab page,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Application shortcuts,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Dynamic tabs,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Crash control,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Incognito mode,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Safe browsing,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Instant bookmarks,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Importing settings,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Google-Chrome,Simpler downloads,https://www.softpedia.com/get/Internet/Browsers/Google-Chrome.shtml
Web Browser,Opera-for-Windows-without-Java,"Opera keeps your browsing safe, so you can stay focused on the content. Our secure browser protects you from fraud and malware on the web. Would you like better privacy on the web? Try our unlimited, free VPN feature.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Opera-for-Windows-without-Java,"Tired of online ads? Opera is the first major browser that can block ads for you without add-ons. According to tests, our built-in ad blocker makes content-rich webpages load in Opera up to 90% faster.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Opera-for-Windows-without-Java,"Our visual bookmarks, tab cycling and customizable shortcuts, keep you on track and save you time. Can't get enough online video? Dont miss our new video pop out feature - a floating, moveable video frame that lets you keep browsing or work in other apps without missing any of the action.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Opera-for-Windows-without-Java,"Operas speed and performance are among our top priorities. The data-compressing Opera Turbo feature, native ad blocker and other features will help you browse faster. And, the new battery saver feature will help you browse longer, too: it extends laptop battery life by up to 50%.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Opera-for-Windows-without-Java,"With a currency converter built right into the browser, Opera helps you shop online around the world without any nasty surprises on your credit card bill.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Opera-for-Windows-without-Java,"Over 1,000 extensions make it easy to customize Opera. Download the extensions and themes you like from Operas add-ons catalog to get the best browser experience with a personal touch. With the animated themes, you can even bring Operas start page to life.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Opera-for-Windows-without-Java,"Switch between devices and pick up browsing where you left off with Opera sync. Bookmarks, open tabs and other data stay synced through your Opera account. Want to keep Opera with all its settings handy on a USB drive? Try our portable version.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Opera-for-Windows-without-Java,"Opera brings the latest news to one spot, available from the browsers start page. Personalize your news feed to read what is most relevant to you. You can add preferred news sources from all over the world, in addition to the top 50 articles from your region.",https://www.softpedia.com/get/Internet/Browsers/Opera-for-Windows-without-Java.shtml
Web Browser,Internet-Explorer-9,The new graphic capabilities and improved performance in Internet Explorer 9 set the stage for immersive and rich experiences.,https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Internet-Explorer-9,"Internet Explorer 9 surfaces the websites you love most and puts them one click away. Once you're in the browser, the New Tab page helps get you started browsing quickly, providing meaningful suggestions and information to help you decide what to do next as you browse.",https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Internet-Explorer-9,"Notifications in Internet Explorer 9 allow for more fluid and faster browsing. Instead of dialog boxes popping up unexpectedly and getting in your way, all notification messages are consolidated in the Notification Bar, located at the bottom of the browser frame.",https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Internet-Explorer-9,"With Pinned Sites, you can get to your favorite sites directly from the Windows taskbarwithout having to open Internet Explorer first.",https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Internet-Explorer-9,Tear-off tabs make interacting with multiple sites fast and intuitive. You can rearrange tabs within Internet Explorer 9just like you can rearrange icons in the taskbar in Windows 7or you can open any tab in a new browser window by dragging that tab to your desktop.,https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Internet-Explorer-9,"Designed based on what you use most, the navigational controls in Internet Explorer 9 are streamlined and simplified. The back button is larger, the address bar and search box are combined into one new address bar, and the multiple menus from previous versions of Internet Explorer are consolidated into a single menu.",https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Internet-Explorer-9,"Cross-site scripting attacks are a leading online threat. Their aim is to exploit vulnerabilities in the websites you visit. How do they work? By compromising legitimate websites with malicious content that can capture keystrokes and record your login information and password. If your login information and password is captured, your personal data could be compromised.",https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Internet-Explorer-9,"One way to avoid deceptive websites is to know the address of the website you're intending to visit. With domain highlighting, Internet Explorer 9 lets you see the true web address at a glance by highlighting the domain name in the address bar, making it easier for you to identify the sites you visit.",https://www.softpedia.com/get/Internet/Browsers/Internet-Explorer-9.shtml
Web Browser,Fast-Browser-Pro,"Advanced browsing mode: can open up to 180 web pages at once, support many easy ways to manage your browsing, and can show each homepage's download progress.",https://www.softpedia.com/get/Internet/Browsers/Fast-Browser-Pro.shtml
Web Browser,Fast-Browser-Pro,"Power search: includes more than 500 search engines and 100 search categories, so search any information you want without taking any pain.",https://www.softpedia.com/get/Internet/Browsers/Fast-Browser-Pro.shtml
Web Browser,Fast-Browser-Pro,Voice function: can speak homepage's content in different tones and ACTIONS. listen to your favorite websites now.,https://www.softpedia.com/get/Internet/Browsers/Fast-Browser-Pro.shtml
Web Browser,Fast-Browser-Pro,"Casual surfing: what is Casual Surfing? That is to say, it will kill your dullness and show you an unexpected website each time, a funny way to surf the web.",https://www.softpedia.com/get/Internet/Browsers/Fast-Browser-Pro.shtml
Web Browser,Fast-Browser-Pro,Multi-language Translation: allows you to change the language in which you view the page (includes up to 35 languages).,https://www.softpedia.com/get/Internet/Browsers/Fast-Browser-Pro.shtml
Web Browser,Fast-Browser-Pro,"Website scan: can check all Urls in a homepage and show each url's create date, file size, link state (active or dead) or even the server name.",https://www.softpedia.com/get/Internet/Browsers/Fast-Browser-Pro.shtml
